"","go","cluster","parent","parentSimScore","score","size","term","parentTerm","female_act_list","female_repress_list","male_act_list","male_repress_list"
"GO:0048844","GO:0048844",5,"GO:0007399",0.415,24,24,"artery morphogenesis","nervous system development",TRUE,FALSE,FALSE,FALSE
"GO:0009746","GO:0009746",6,"GO:0009410",0.347,0,0,"response to hexose","response to xenobiotic stimulus",TRUE,FALSE,TRUE,TRUE
"GO:0035909","GO:0035909",5,"GO:0007399",0.376,15,15,"aorta morphogenesis","nervous system development",TRUE,FALSE,FALSE,FALSE
"GO:0048384","GO:0048384",2,"GO:0007165",0.847,21,21,"retinoic acid receptor signaling pathway","signal transduction",TRUE,FALSE,TRUE,FALSE
"GO:2000628","GO:2000628",1,"GO:0006357",0.516,3,3,"regulation of miRNA metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0009991","GO:0009991",7,"GO:0001666",0.252,4,4,"response to extracellular stimulus","response to hypoxia",TRUE,TRUE,TRUE,TRUE
"GO:0043065","GO:0043065",2,"GO:0007165",0.279,340,340,"positive regulation of apoptotic process","signal transduction",TRUE,FALSE,FALSE,TRUE
"GO:0009966","GO:0009966",2,"GO:0007165",0.782,45,45,"regulation of signal transduction","signal transduction",TRUE,FALSE,TRUE,TRUE
"GO:0046643","GO:0046643",10,"GO:0042110",0.545,0,0,"regulation of gamma-delta T cell activation","T cell activation",TRUE,FALSE,FALSE,FALSE
"GO:0046879","GO:0046879",11,"GO:0050796",0.481,5,5,"hormone secretion","regulation of insulin secretion",TRUE,FALSE,TRUE,TRUE
"GO:2000756","GO:2000756",1,"GO:0006357",0.249,0,0,"regulation of peptidyl-lysine acetylation","regulation of transcription by RNA polymerase II",TRUE,FALSE,FALSE,TRUE
"GO:0071417","GO:0071417",6,"GO:0009410",0.251,5,5,"cellular response to organonitrogen compound","response to xenobiotic stimulus",TRUE,FALSE,TRUE,TRUE
"GO:0034284","GO:0034284",6,"GO:0009410",0.383,1,1,"response to monosaccharide","response to xenobiotic stimulus",TRUE,FALSE,TRUE,TRUE
"GO:0043068","GO:0043068",2,"GO:0007165",0.323,11,11,"positive regulation of programmed cell death","signal transduction",TRUE,FALSE,FALSE,TRUE
"GO:0003151","GO:0003151",5,"GO:0007399",0.468,48,48,"outflow tract morphogenesis","nervous system development",TRUE,FALSE,FALSE,TRUE
"GO:0071383","GO:0071383",6,"GO:0009410",0.201,16,16,"cellular response to steroid hormone stimulus","response to xenobiotic stimulus",TRUE,FALSE,TRUE,TRUE
"GO:0051147","GO:0051147",3,"GO:0030154",0.499,8,8,"regulation of muscle cell differentiation","cell differentiation",TRUE,FALSE,TRUE,TRUE
"GO:0060485","GO:0060485",5,"GO:0007399",0.583,4,4,"mesenchyme development","nervous system development",TRUE,FALSE,FALSE,TRUE
"GO:0002009","GO:0002009",5,"GO:0007399",0.253,21,21,"morphogenesis of an epithelium","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0048511","GO:0048511",4,"GO:0006915",0.21,67,67,"rhythmic process","apoptotic process",TRUE,FALSE,TRUE,TRUE
"GO:0009914","GO:0009914",8,"GO:0042593",0.217,1,1,"hormone transport","glucose homeostasis",TRUE,FALSE,TRUE,TRUE
"GO:0035270","GO:0035270",5,"GO:0007399",0.723,0,0,"endocrine system development","nervous system development",TRUE,TRUE,TRUE,TRUE
"GO:0001822","GO:0001822",5,"GO:0007399",0.55,122,122,"kidney development","nervous system development",TRUE,FALSE,FALSE,TRUE
"GO:0042981","GO:0042981",2,"GO:0007165",0.347,209,209,"regulation of apoptotic process","signal transduction",TRUE,TRUE,TRUE,TRUE
"GO:0061333","GO:0061333",5,"GO:0007399",0.372,4,4,"renal tubule morphogenesis","nervous system development",TRUE,FALSE,FALSE,FALSE
"GO:0031016","GO:0031016",5,"GO:0007399",0.638,25,25,"pancreas development","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0048699","GO:0048699",5,"GO:0007399",0.665,9,9,"generation of neurons","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0071345","GO:0071345",6,"GO:0009410",0.315,33,33,"cellular response to cytokine stimulus","response to xenobiotic stimulus",TRUE,FALSE,TRUE,TRUE
"GO:0072001","GO:0072001",5,"GO:0007399",0.659,0,0,"renal system development","nervous system development",TRUE,FALSE,FALSE,TRUE
"GO:0043067","GO:0043067",2,"GO:0007165",0.403,4,4,"regulation of programmed cell death","signal transduction",TRUE,TRUE,TRUE,TRUE
"GO:0030072","GO:0030072",11,"GO:0050796",0.586,6,6,"peptide hormone secretion","regulation of insulin secretion",TRUE,FALSE,TRUE,FALSE
"GO:0071496","GO:0071496",7,"GO:0001666",0.252,0,0,"cellular response to external stimulus","response to hypoxia",TRUE,TRUE,FALSE,TRUE
"GO:2000758","GO:2000758",1,"GO:0006357",0.205,5,5,"positive regulation of peptidyl-lysine acetylation","regulation of transcription by RNA polymerase II",TRUE,FALSE,FALSE,FALSE
"GO:0010586","GO:0010586",1,"GO:0006357",0.279,13,13,"miRNA metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0002682","GO:0002682",4,"GO:0006915",0.119,21,21,"regulation of immune system process","apoptotic process",TRUE,TRUE,TRUE,TRUE
"GO:1901699","GO:1901699",6,"GO:0009410",0.381,0,0,"cellular response to nitrogen compound","response to xenobiotic stimulus",TRUE,FALSE,TRUE,TRUE
"GO:0009743","GO:0009743",6,"GO:0009410",0.434,9,9,"response to carbohydrate","response to xenobiotic stimulus",TRUE,FALSE,TRUE,FALSE
"GO:0045444","GO:0045444",3,"GO:0030154",0.837,76,76,"fat cell differentiation","cell differentiation",TRUE,TRUE,TRUE,TRUE
"GO:0002790","GO:0002790",11,"GO:0050796",0.358,3,3,"peptide secretion","regulation of insulin secretion",TRUE,FALSE,TRUE,FALSE
"GO:0042492","GO:0042492",5,"GO:0007399",0.307,6,6,"gamma-delta T cell differentiation","nervous system development",TRUE,FALSE,FALSE,FALSE
"GO:1901983","GO:1901983",1,"GO:0006357",0.295,0,0,"regulation of protein acetylation","regulation of transcription by RNA polymerase II",TRUE,FALSE,FALSE,TRUE
"GO:0050796","GO:0050796",11,"GO:0050796",1,47,47,"regulation of insulin secretion","regulation of insulin secretion",TRUE,FALSE,TRUE,TRUE
"GO:0006915","GO:0006915",4,"GO:0006915",1,580,580,"apoptotic process","apoptotic process",TRUE,TRUE,TRUE,TRUE
"GO:0046883","GO:0046883",11,"GO:0050796",0.677,6,6,"regulation of hormone secretion","regulation of insulin secretion",TRUE,TRUE,TRUE,TRUE
"GO:0060021","GO:0060021",5,"GO:0007399",0.425,64,64,"roof of mouth development","nervous system development",TRUE,FALSE,FALSE,FALSE
"GO:0048545","GO:0048545",6,"GO:0009410",0.326,16,16,"response to steroid hormone","response to xenobiotic stimulus",TRUE,FALSE,TRUE,TRUE
"GO:0071407","GO:0071407",6,"GO:0009410",0.315,42,42,"cellular response to organic cyclic compound","response to xenobiotic stimulus",TRUE,TRUE,TRUE,TRUE
"GO:0007521","GO:0007521",3,"GO:0030154",0.547,2,2,"muscle cell fate determination","cell differentiation",TRUE,FALSE,FALSE,FALSE
"GO:0008050","GO:0008050",9,"GO:0007565",0.387,2,2,"female courtship behavior","female pregnancy",TRUE,FALSE,FALSE,FALSE
"GO:0003207","GO:0003207",5,"GO:0007399",0.407,3,3,"cardiac chamber formation","nervous system development",TRUE,FALSE,FALSE,FALSE
"GO:0010942","GO:0010942",2,"GO:0007165",0.392,49,49,"positive regulation of cell death","signal transduction",TRUE,FALSE,TRUE,TRUE
"GO:0042789","GO:0042789",1,"GO:0006357",0.594,46,46,"mRNA transcription by RNA polymerase II","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0007519","GO:0007519",5,"GO:0007399",0.403,53,53,"skeletal muscle tissue development","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0012501","GO:0012501",4,"GO:0006915",0.812,11,11,"programmed cell death","apoptotic process",TRUE,TRUE,TRUE,TRUE
"GO:1902895","GO:1902895",1,"GO:0006357",0.783,56,56,"positive regulation of miRNA transcription","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0060840","GO:0060840",5,"GO:0007399",0.556,9,9,"artery development","nervous system development",TRUE,FALSE,FALSE,TRUE
"GO:0072080","GO:0072080",5,"GO:0007399",0.376,0,0,"nephron tubule development","nervous system development",TRUE,FALSE,FALSE,FALSE
"GO:0031058","GO:0031058",1,"GO:0006357",0.206,1,1,"positive regulation of histone modification","regulation of transcription by RNA polymerase II",TRUE,FALSE,FALSE,FALSE
"GO:0060993","GO:0060993",5,"GO:0007399",0.451,8,8,"kidney morphogenesis","nervous system development",TRUE,FALSE,FALSE,FALSE
"GO:1901653","GO:1901653",6,"GO:0009410",0.209,10,10,"cellular response to peptide","response to xenobiotic stimulus",TRUE,FALSE,TRUE,TRUE
"GO:0006984","GO:0006984",2,"GO:0007165",0.915,1,1,"ER-nucleus signaling pathway","signal transduction",TRUE,FALSE,FALSE,FALSE
"GO:0031056","GO:0031056",1,"GO:0006357",0.273,5,5,"regulation of histone modification","regulation of transcription by RNA polymerase II",TRUE,FALSE,FALSE,TRUE
"GO:0014013","GO:0014013",5,"GO:0007399",0.418,2,2,"regulation of gliogenesis","nervous system development",TRUE,FALSE,FALSE,FALSE
"GO:0015833","GO:0015833",11,"GO:0050796",0.3,8,8,"peptide transport","regulation of insulin secretion",TRUE,FALSE,FALSE,FALSE
"GO:0051151","GO:0051151",3,"GO:0030154",0.372,10,10,"negative regulation of smooth muscle cell differentiation","cell differentiation",TRUE,FALSE,TRUE,FALSE
"GO:0009267","GO:0009267",7,"GO:0001666",0.23,76,76,"cellular response to starvation","response to hypoxia",TRUE,FALSE,FALSE,TRUE
"GO:0061326","GO:0061326",5,"GO:0007399",0.496,2,2,"renal tubule development","nervous system development",TRUE,FALSE,FALSE,FALSE
"GO:0031018","GO:0031018",5,"GO:0007399",0.573,17,17,"endocrine pancreas development","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:1901985","GO:1901985",1,"GO:0006357",0.239,11,11,"positive regulation of protein acetylation","regulation of transcription by RNA polymerase II",TRUE,FALSE,FALSE,FALSE
"GO:0050678","GO:0050678",2,"GO:0007165",0.403,18,18,"regulation of epithelial cell proliferation","signal transduction",TRUE,TRUE,TRUE,TRUE
"GO:0060538","GO:0060538",5,"GO:0007399",0.528,6,6,"skeletal muscle organ development","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0014009","GO:0014009",5,"GO:0007399",0.565,14,14,"glial cell proliferation","nervous system development",TRUE,FALSE,FALSE,FALSE
"GO:0048729","GO:0048729",5,"GO:0007399",0.327,3,3,"tissue morphogenesis","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0042692","GO:0042692",3,"GO:0030154",0.701,19,19,"muscle cell differentiation","cell differentiation",TRUE,FALSE,TRUE,TRUE
"GO:2000630","GO:2000630",1,"GO:0006357",0.415,3,3,"positive regulation of miRNA metabolic process","regulation of transcription by RNA polymerase II",TRUE,TRUE,TRUE,TRUE
"GO:0010941","GO:0010941",2,"GO:0007165",0.49,6,6,"regulation of cell death","signal transduction",TRUE,TRUE,TRUE,TRUE
"GO:0090276","GO:0090276",11,"GO:0050796",0.823,2,2,"regulation of peptide hormone secretion","regulation of insulin secretion",TRUE,FALSE,TRUE,TRUE
"GO:0003179","GO:0003179",5,"GO:0007399",0.493,7,7,"heart valve morphogenesis","nervous system development",TRUE,FALSE,FALSE,TRUE
"GO:0002791","GO:0002791",11,"GO:0050796",0.535,0,0,"regulation of peptide secretion","regulation of insulin secretion",TRUE,FALSE,TRUE,TRUE
"GO:0002376","GO:0002376",4,"GO:0006915",0.21,46,46,"immune system process","apoptotic process",TRUE,TRUE,TRUE,TRUE
"GO:0008284","GO:0008284",2,"GO:0007165",0.392,584,584,"positive regulation of cell population proliferation","signal transduction",TRUE,TRUE,TRUE,TRUE
"GO:0090087","GO:0090087",11,"GO:0050796",0.431,0,0,"regulation of peptide transport","regulation of insulin secretion",TRUE,FALSE,TRUE,TRUE
"GO:0001654","GO:0001654",5,"GO:0007399",0.484,46,46,"eye development","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0007267","GO:0007267",2,"GO:0007165",0.513,229,229,"cell-cell signaling","signal transduction",TRUE,FALSE,TRUE,TRUE
"GO:0007619","GO:0007619",9,"GO:0007565",0.434,0,0,"courtship behavior","female pregnancy",TRUE,FALSE,FALSE,FALSE
"GO:0014707","GO:0014707",5,"GO:0007399",0.409,3,3,"branchiomeric skeletal muscle development","nervous system development",TRUE,FALSE,FALSE,FALSE
"GO:0002157","GO:0002157",2,"GO:0007165",0.502,2,2,"positive regulation of thyroid hormone mediated signaling pathway","signal transduction",TRUE,FALSE,FALSE,FALSE
"GO:0150063","GO:0150063",5,"GO:0007399",0.621,1,1,"visual system development","nervous system development",TRUE,FALSE,TRUE,TRUE
"GO:0051094","GO:0051094",4,"GO:0006915",0.101,2,2,"positive regulation of developmental process","apoptotic process",FALSE,TRUE,TRUE,TRUE
"GO:0045597","GO:0045597",3,"GO:0030154",0.518,55,55,"positive regulation of cell differentiation","cell differentiation",FALSE,TRUE,TRUE,TRUE
"GO:0030099","GO:0030099",5,"GO:0007399",0.412,23,23,"myeloid cell differentiation","nervous system development",FALSE,TRUE,TRUE,TRUE
"GO:0051240","GO:0051240",9,"GO:0007565",0.225,0,0,"positive regulation of multicellular organismal process","female pregnancy",FALSE,TRUE,TRUE,TRUE
"GO:0002521","GO:0002521",5,"GO:0007399",0.412,3,3,"leukocyte differentiation","nervous system development",FALSE,TRUE,TRUE,TRUE
"GO:1903131","GO:1903131",5,"GO:0007399",0.403,3,3,"mononuclear cell differentiation","nervous system development",FALSE,TRUE,TRUE,TRUE
"GO:0030098","GO:0030098",5,"GO:0007399",0.332,5,5,"lymphocyte differentiation","nervous system development",FALSE,TRUE,TRUE,TRUE
"GO:0043009","GO:0043009",5,"GO:0007399",0.441,5,5,"chordate embryonic development","nervous system development",FALSE,TRUE,TRUE,TRUE
"GO:0009792","GO:0009792",5,"GO:0007399",0.512,23,23,"embryo development ending in birth or egg hatching","nervous system development",FALSE,TRUE,TRUE,TRUE
"GO:0046649","GO:0046649",10,"GO:0042110",0.851,1,1,"lymphocyte activation","T cell activation",FALSE,TRUE,TRUE,TRUE
"GO:0097028","GO:0097028",5,"GO:0007399",0.396,16,16,"dendritic cell differentiation","nervous system development",FALSE,TRUE,FALSE,TRUE
"GO:0001890","GO:0001890",5,"GO:0007399",0.489,36,36,"placenta development","nervous system development",FALSE,TRUE,FALSE,TRUE
"GO:0030217","GO:0030217",5,"GO:0007399",0.318,42,42,"T cell differentiation","nervous system development",FALSE,TRUE,TRUE,TRUE
"GO:1902105","GO:1902105",5,"GO:0007399",0.299,0,0,"regulation of leukocyte differentiation","nervous system development",FALSE,TRUE,TRUE,TRUE
"GO:0001701","GO:0001701",5,"GO:0007399",0.391,203,203,"in utero embryonic development","nervous system development",FALSE,TRUE,TRUE,TRUE
"GO:0045321","GO:0045321",10,"GO:0042110",0.748,5,5,"leukocyte activation","T cell activation",FALSE,TRUE,TRUE,TRUE
"GO:0001775","GO:0001775",4,"GO:0006915",0.357,13,13,"cell activation","apoptotic process",FALSE,TRUE,TRUE,TRUE
"GO:0045600","GO:0045600",3,"GO:0030154",0.443,58,58,"positive regulation of fat cell differentiation","cell differentiation",FALSE,TRUE,TRUE,TRUE
"GO:0042110","GO:0042110",10,"GO:0042110",1,56,56,"T cell activation","T cell activation",FALSE,TRUE,TRUE,TRUE
"GO:0030218","GO:0030218",5,"GO:0007399",0.326,59,59,"erythrocyte differentiation","nervous system development",FALSE,TRUE,TRUE,TRUE
"GO:0009605","GO:0009605",7,"GO:0001666",0.323,0,0,"response to external stimulus","response to hypoxia",FALSE,TRUE,TRUE,TRUE
"GO:0045598","GO:0045598",3,"GO:0030154",0.547,15,15,"regulation of fat cell differentiation","cell differentiation",FALSE,TRUE,TRUE,TRUE
"GO:0034101","GO:0034101",8,"GO:0042593",0.287,10,10,"erythrocyte homeostasis","glucose homeostasis",FALSE,TRUE,TRUE,TRUE
"GO:0006950","GO:0006950",7,"GO:0001666",0.595,0,0,"response to stress","response to hypoxia",FALSE,TRUE,TRUE,TRUE
"GO:0033554","GO:0033554",7,"GO:0001666",0.394,11,11,"cellular response to stress","response to hypoxia",FALSE,TRUE,TRUE,TRUE
"GO:0071456","GO:0071456",7,"GO:0001666",0.616,134,134,"cellular response to hypoxia","response to hypoxia",FALSE,TRUE,TRUE,FALSE
"GO:0002573","GO:0002573",5,"GO:0007399",0.374,3,3,"myeloid leukocyte differentiation","nervous system development",FALSE,TRUE,TRUE,TRUE
"GO:0036294","GO:0036294",7,"GO:0001666",0.472,3,3,"cellular response to decreased oxygen levels","response to hypoxia",FALSE,TRUE,FALSE,FALSE
"GO:0030856","GO:0030856",5,"GO:0007399",0.293,7,7,"regulation of epithelial cell differentiation","nervous system development",FALSE,TRUE,FALSE,TRUE
"GO:0043011","GO:0043011",5,"GO:0007399",0.279,19,19,"myeloid dendritic cell differentiation","nervous system development",FALSE,TRUE,FALSE,TRUE
"GO:0007584","GO:0007584",7,"GO:0001666",0.205,56,56,"response to nutrient","response to hypoxia",FALSE,TRUE,FALSE,FALSE
"GO:0071453","GO:0071453",7,"GO:0001666",0.388,4,4,"cellular response to oxygen levels","response to hypoxia",FALSE,TRUE,TRUE,TRUE
"GO:0051090","GO:0051090",1,"GO:0006357",0.866,24,24,"regulation of DNA-binding transcription factor activity","regulation of transcription by RNA polymerase II",FALSE,TRUE,FALSE,TRUE
"GO:0051707","GO:0051707",7,"GO:0001666",0.201,3,3,"response to other organism","response to hypoxia",FALSE,TRUE,FALSE,FALSE
"GO:0043207","GO:0043207",7,"GO:0001666",0.228,2,2,"response to external biotic stimulus","response to hypoxia",FALSE,TRUE,FALSE,FALSE
"GO:0002262","GO:0002262",8,"GO:0042593",0.346,10,10,"myeloid cell homeostasis","glucose homeostasis",FALSE,TRUE,TRUE,TRUE
"GO:0045445","GO:0045445",3,"GO:0030154",0.701,21,21,"myoblast differentiation","cell differentiation",FALSE,TRUE,FALSE,TRUE
"GO:0001659","GO:0001659",8,"GO:0042593",0.343,20,20,"temperature homeostasis","glucose homeostasis",FALSE,TRUE,FALSE,TRUE
"GO:0009607","GO:0009607",7,"GO:0001666",0.323,0,0,"response to biotic stimulus","response to hypoxia",FALSE,TRUE,FALSE,FALSE
"GO:0006952","GO:0006952",7,"GO:0001666",0.465,72,72,"defense response","response to hypoxia",FALSE,TRUE,FALSE,TRUE
"GO:0001773","GO:0001773",10,"GO:0042110",0.493,2,2,"myeloid dendritic cell activation","T cell activation",FALSE,TRUE,FALSE,TRUE
"GO:0001819","GO:0001819",1,"GO:0006357",0.262,67,67,"positive regulation of cytokine production","regulation of transcription by RNA polymerase II",FALSE,TRUE,FALSE,TRUE
"GO:0001817","GO:0001817",1,"GO:0006357",0.332,45,45,"regulation of cytokine production","regulation of transcription by RNA polymerase II",FALSE,TRUE,FALSE,TRUE
"GO:0008544","GO:0008544",5,"GO:0007399",0.336,85,85,"epidermis development","nervous system development",FALSE,TRUE,FALSE,TRUE
"GO:0001816","GO:0001816",1,"GO:0006357",0.202,7,7,"cytokine production","regulation of transcription by RNA polymerase II",FALSE,TRUE,FALSE,TRUE
"GO:0060056","GO:0060056",5,"GO:0007399",0.423,7,7,"mammary gland involution","nervous system development",FALSE,TRUE,FALSE,FALSE
"GO:0001666","GO:0001666",7,"GO:0001666",1,167,167,"response to hypoxia","response to hypoxia",FALSE,TRUE,TRUE,TRUE
"GO:0048871","GO:0048871",8,"GO:0042593",0.426,3,3,"multicellular organismal homeostasis","glucose homeostasis",FALSE,TRUE,TRUE,TRUE
"GO:0033002","GO:0033002",4,"GO:0006915",0.267,1,1,"muscle cell proliferation","apoptotic process",FALSE,TRUE,FALSE,TRUE
"GO:0034660","GO:0034660",1,"GO:0006357",0.34,0,0,"ncRNA metabolic process","regulation of transcription by RNA polymerase II",FALSE,TRUE,TRUE,TRUE
"GO:0045637","GO:0045637",5,"GO:0007399",0.299,5,5,"regulation of myeloid cell differentiation","nervous system development",FALSE,TRUE,TRUE,TRUE
"GO:0044419","GO:0044419",4,"GO:0006915",0.21,16,16,"biological process involved in interspecies interaction between organisms","apoptotic process",FALSE,TRUE,FALSE,FALSE
"GO:0045619","GO:0045619",10,"GO:0042110",0.264,3,3,"regulation of lymphocyte differentiation","T cell activation",FALSE,TRUE,TRUE,TRUE
"GO:0036293","GO:0036293",7,"GO:0001666",0.751,2,2,"response to decreased oxygen levels","response to hypoxia",FALSE,TRUE,TRUE,TRUE
"GO:0030879","GO:0030879",5,"GO:0007399",0.563,22,22,"mammary gland development","nervous system development",FALSE,TRUE,TRUE,TRUE
"GO:0106106","GO:0106106",8,"GO:0042593",0.249,0,0,"cold-induced thermogenesis","glucose homeostasis",FALSE,TRUE,FALSE,FALSE
"GO:0120161","GO:0120161",8,"GO:0042593",0.246,3,3,"regulation of cold-induced thermogenesis","glucose homeostasis",FALSE,TRUE,FALSE,FALSE
"GO:0140467","GO:0140467",7,"GO:0001666",0.34,25,25,"integrated stress response signaling","response to hypoxia",FALSE,TRUE,TRUE,TRUE
"GO:0080134","GO:0080134",4,"GO:0006915",0.085,0,0,"regulation of response to stress","apoptotic process",FALSE,TRUE,FALSE,TRUE
"GO:0034969","GO:0034969",1,"GO:0006357",0.126,3,3,"histone arginine methylation","regulation of transcription by RNA polymerase II",FALSE,TRUE,FALSE,FALSE
"GO:0062012","GO:0062012",1,"GO:0006357",0.193,0,0,"regulation of small molecule metabolic process","regulation of transcription by RNA polymerase II",FALSE,TRUE,TRUE,TRUE
"GO:0031670","GO:0031670",7,"GO:0001666",0.125,5,5,"cellular response to nutrient","response to hypoxia",FALSE,TRUE,FALSE,FALSE
"GO:0070482","GO:0070482",7,"GO:0001666",0.636,4,4,"response to oxygen levels","response to hypoxia",FALSE,TRUE,TRUE,TRUE
"GO:0001892","GO:0001892",5,"GO:0007399",0.363,20,20,"embryonic placenta development","nervous system development",FALSE,TRUE,TRUE,TRUE
"GO:0072540","GO:0072540",10,"GO:0042110",0.296,8,8,"T-helper 17 cell lineage commitment","T cell activation",FALSE,TRUE,FALSE,FALSE
"GO:0009628","GO:0009628",7,"GO:0001666",0.538,0,0,"response to abiotic stimulus","response to hypoxia",FALSE,TRUE,TRUE,TRUE
"GO:1990845","GO:1990845",4,"GO:0006915",0.147,11,11,"adaptive thermogenesis","apoptotic process",FALSE,TRUE,FALSE,FALSE
"GO:0042592","GO:0042592",8,"GO:0042593",0.608,11,11,"homeostatic process","glucose homeostasis",FALSE,TRUE,TRUE,TRUE
"GO:0045639","GO:0045639",5,"GO:0007399",0.261,4,4,"positive regulation of myeloid cell differentiation","nervous system development",FALSE,TRUE,TRUE,TRUE
"GO:0043066","GO:0043066",2,"GO:0007165",0.279,545,545,"negative regulation of apoptotic process","signal transduction",FALSE,TRUE,FALSE,TRUE
"GO:0008219","GO:0008219",4,"GO:0006915",0.657,35,35,"cell death","apoptotic process",FALSE,TRUE,TRUE,TRUE
"GO:0019827","GO:0019827",5,"GO:0007399",0.373,38,38,"stem cell population maintenance","nervous system development",FALSE,TRUE,TRUE,TRUE
"GO:0045580","GO:0045580",10,"GO:0042110",0.344,14,14,"regulation of T cell differentiation","T cell activation",FALSE,TRUE,TRUE,TRUE
"GO:0043069","GO:0043069",2,"GO:0007165",0.323,16,16,"negative regulation of programmed cell death","signal transduction",FALSE,TRUE,FALSE,TRUE
"GO:0018216","GO:0018216",1,"GO:0006357",0.159,7,7,"peptidyl-arginine methylation","regulation of transcription by RNA polymerase II",FALSE,TRUE,FALSE,FALSE
"GO:0002295","GO:0002295",10,"GO:0042110",0.315,1,1,"T-helper cell lineage commitment","T cell activation",FALSE,TRUE,FALSE,TRUE
"GO:0098727","GO:0098727",5,"GO:0007399",0.306,1,1,"maintenance of cell number","nervous system development",FALSE,TRUE,TRUE,TRUE
"GO:0070169","GO:0070169",5,"GO:0007399",0.331,6,6,"positive regulation of biomineral tissue development","nervous system development",FALSE,TRUE,FALSE,FALSE
"GO:1902894","GO:1902894",1,"GO:0006357",0.761,19,19,"negative regulation of miRNA transcription","regulation of transcription by RNA polymerase II",FALSE,TRUE,TRUE,TRUE
"GO:0022612","GO:0022612",5,"GO:0007399",0.494,7,7,"gland morphogenesis","nervous system development",FALSE,FALSE,TRUE,TRUE
"GO:0061448","GO:0061448",5,"GO:0007399",0.336,2,2,"connective tissue development","nervous system development",FALSE,FALSE,TRUE,TRUE
"GO:0001889","GO:0001889",5,"GO:0007399",0.532,76,76,"liver development","nervous system development",FALSE,FALSE,TRUE,TRUE
"GO:0061008","GO:0061008",5,"GO:0007399",0.723,0,0,"hepaticobiliary system development","nervous system development",FALSE,FALSE,TRUE,TRUE
"GO:0002065","GO:0002065",3,"GO:0030154",0.619,0,0,"columnar/cuboidal epithelial cell differentiation","cell differentiation",FALSE,FALSE,TRUE,TRUE
"GO:0019218","GO:0019218",1,"GO:0006357",0.226,4,4,"regulation of steroid metabolic process","regulation of transcription by RNA polymerase II",FALSE,FALSE,TRUE,FALSE
"GO:0002067","GO:0002067",3,"GO:0030154",0.58,7,7,"glandular epithelial cell differentiation","cell differentiation",FALSE,FALSE,TRUE,TRUE
"GO:0022414","GO:0022414",9,"GO:0007565",0.514,4,4,"reproductive process","female pregnancy",FALSE,FALSE,TRUE,TRUE
"GO:0008202","GO:0008202",1,"GO:0006357",0.176,58,58,"steroid metabolic process","regulation of transcription by RNA polymerase II",FALSE,FALSE,TRUE,FALSE
"GO:0000003","GO:0000003",9,"GO:0007565",0.381,4,4,"reproduction","female pregnancy",FALSE,FALSE,TRUE,TRUE
"GO:0042593","GO:0042593",8,"GO:0042593",1,112,112,"glucose homeostasis","glucose homeostasis",FALSE,FALSE,TRUE,TRUE
"GO:0033500","GO:0033500",8,"GO:0042593",0.833,2,2,"carbohydrate homeostasis","glucose homeostasis",FALSE,FALSE,TRUE,TRUE
"GO:0060509","GO:0060509",5,"GO:0007399",0.337,8,8,"type I pneumocyte differentiation","nervous system development",FALSE,FALSE,TRUE,FALSE
"GO:0002064","GO:0002064",3,"GO:0030154",0.57,12,12,"epithelial cell development","cell differentiation",FALSE,FALSE,TRUE,TRUE
"GO:0070848","GO:0070848",6,"GO:0009410",0.491,15,15,"response to growth factor","response to xenobiotic stimulus",FALSE,FALSE,TRUE,TRUE
"GO:0061138","GO:0061138",5,"GO:0007399",0.314,4,4,"morphogenesis of a branching epithelium","nervous system development",FALSE,FALSE,TRUE,TRUE
"GO:0010817","GO:0010817",8,"GO:0042593",0.368,4,4,"regulation of hormone levels","glucose homeostasis",FALSE,FALSE,TRUE,TRUE
"GO:0001763","GO:0001763",5,"GO:0007399",0.48,9,9,"morphogenesis of a branching structure","nervous system development",FALSE,FALSE,TRUE,TRUE
"GO:0016570","GO:0016570",1,"GO:0006357",0.166,15,15,"histone modification","regulation of transcription by RNA polymerase II",FALSE,FALSE,TRUE,TRUE
"GO:0003006","GO:0003006",5,"GO:0007399",0.254,5,5,"developmental process involved in reproduction","nervous system development",FALSE,FALSE,TRUE,TRUE
"GO:0006325","GO:0006325",3,"GO:0030154",0.203,226,226,"chromatin organization","cell differentiation",FALSE,FALSE,TRUE,FALSE
"GO:0071363","GO:0071363",6,"GO:0009410",0.315,56,56,"cellular response to growth factor stimulus","response to xenobiotic stimulus",FALSE,FALSE,TRUE,TRUE
"GO:1902107","GO:1902107",5,"GO:0007399",0.24,0,0,"positive regulation of leukocyte differentiation","nervous system development",FALSE,FALSE,TRUE,TRUE
