"","go","cluster","parent","parentSimScore","score","size","term","parentTerm","female_drugs","male_drugs"
"GO:0070848","GO:0070848",8,"GO:0050896",0.51,15,15,"response to growth factor","response to stimulus",TRUE,FALSE
"GO:0051090","GO:0051090",1,"GO:0006357",0.866,24,24,"regulation of DNA-binding transcription factor activity","regulation of transcription by RNA polymerase II",TRUE,FALSE
"GO:0009952","GO:0009952",5,"GO:0007399",0.454,92,92,"anterior/posterior pattern specification","nervous system development",TRUE,TRUE
"GO:0001707","GO:0001707",5,"GO:0007399",0.291,33,33,"mesoderm formation","nervous system development",TRUE,FALSE
"GO:0050896","GO:0050896",8,"GO:0050896",1,64,64,"response to stimulus","response to stimulus",TRUE,TRUE
"GO:0061035","GO:0061035",7,"GO:0030097",0.373,3,3,"regulation of cartilage development","hemopoiesis",TRUE,FALSE
"GO:0002065","GO:0002065",3,"GO:0030154",0.619,0,0,"columnar/cuboidal epithelial cell differentiation","cell differentiation",TRUE,TRUE
"GO:0048872","GO:0048872",6,"GO:0042593",0.453,15,15,"homeostasis of number of cells","glucose homeostasis",TRUE,FALSE
"GO:0002062","GO:0002062",5,"GO:0007399",0.415,50,50,"chondrocyte differentiation","nervous system development",TRUE,FALSE
"GO:0050678","GO:0050678",2,"GO:0007165",0.403,18,18,"regulation of epithelial cell proliferation","signal transduction",TRUE,TRUE
"GO:0000003","GO:0000003",9,"GO:0007548",0.471,4,4,"reproduction","sex differentiation",TRUE,TRUE
"GO:0060322","GO:0060322",3,"GO:0030154",0.3,13,13,"head development","cell differentiation",TRUE,TRUE
"GO:0043583","GO:0043583",5,"GO:0007399",0.563,10,10,"ear development","nervous system development",TRUE,FALSE
"GO:0051155","GO:0051155",3,"GO:0030154",0.372,6,6,"positive regulation of striated muscle cell differentiation","cell differentiation",TRUE,FALSE
"GO:0048339","GO:0048339",5,"GO:0007399",0.484,8,8,"paraxial mesoderm development","nervous system development",TRUE,FALSE
"GO:0019827","GO:0019827",5,"GO:0007399",0.373,38,38,"stem cell population maintenance","nervous system development",TRUE,FALSE
"GO:0045580","GO:0045580",7,"GO:0030097",0.388,14,14,"regulation of T cell differentiation","hemopoiesis",TRUE,FALSE
"GO:0001704","GO:0001704",5,"GO:0007399",0.392,2,2,"formation of primary germ layer","nervous system development",TRUE,FALSE
"GO:1903131","GO:1903131",7,"GO:0030097",0.717,3,3,"mononuclear cell differentiation","hemopoiesis",TRUE,FALSE
"GO:0042789","GO:0042789",1,"GO:0006357",0.594,46,46,"mRNA transcription by RNA polymerase II","regulation of transcription by RNA polymerase II",TRUE,FALSE
"GO:0045663","GO:0045663",3,"GO:0030154",0.411,47,47,"positive regulation of myoblast differentiation","cell differentiation",TRUE,FALSE
"GO:0003231","GO:0003231",5,"GO:0007399",0.52,7,7,"cardiac ventricle development","nervous system development",TRUE,FALSE
"GO:0051153","GO:0051153",3,"GO:0030154",0.457,1,1,"regulation of striated muscle cell differentiation","cell differentiation",TRUE,FALSE
"GO:0048643","GO:0048643",7,"GO:0030097",0.227,7,7,"positive regulation of skeletal muscle tissue development","hemopoiesis",TRUE,FALSE
"GO:1901861","GO:1901861",7,"GO:0030097",0.211,0,0,"regulation of muscle tissue development","hemopoiesis",TRUE,FALSE
"GO:0001654","GO:0001654",5,"GO:0007399",0.484,46,46,"eye development","nervous system development",TRUE,TRUE
"GO:0150063","GO:0150063",5,"GO:0007399",0.621,1,1,"visual system development","nervous system development",TRUE,TRUE
"GO:0071363","GO:0071363",8,"GO:0050896",0.329,56,56,"cellular response to growth factor stimulus","response to stimulus",TRUE,FALSE
"GO:0042981","GO:0042981",4,"GO:0006915",0.616,209,209,"regulation of apoptotic process","apoptotic process",TRUE,FALSE
"GO:0048565","GO:0048565",5,"GO:0007399",0.595,27,27,"digestive tract development","nervous system development",TRUE,TRUE
"GO:1901652","GO:1901652",8,"GO:0050896",0.371,2,2,"response to peptide","response to stimulus",TRUE,TRUE
"GO:0006950","GO:0006950",8,"GO:0050896",0.743,0,0,"response to stress","response to stimulus",TRUE,FALSE
"GO:0007420","GO:0007420",5,"GO:0007399",0.668,264,264,"brain development","nervous system development",TRUE,TRUE
"GO:0048880","GO:0048880",5,"GO:0007399",0.723,3,3,"sensory system development","nervous system development",TRUE,FALSE
"GO:0002066","GO:0002066",3,"GO:0030154",0.503,1,1,"columnar/cuboidal epithelial cell development","cell differentiation",TRUE,FALSE
"GO:0002070","GO:0002070",3,"GO:0030154",0.482,8,8,"epithelial cell maturation","cell differentiation",TRUE,FALSE
"GO:0043401","GO:0043401",8,"GO:0050896",0.185,22,22,"steroid hormone mediated signaling pathway","response to stimulus",TRUE,TRUE
"GO:0009299","GO:0009299",1,"GO:0006357",0.608,5,5,"mRNA transcription","regulation of transcription by RNA polymerase II",TRUE,FALSE
"GO:0035270","GO:0035270",5,"GO:0007399",0.723,0,0,"endocrine system development","nervous system development",TRUE,TRUE
"GO:0043067","GO:0043067",4,"GO:0006915",0.484,4,4,"regulation of programmed cell death","apoptotic process",TRUE,TRUE
"GO:0002521","GO:0002521",7,"GO:0030097",0.761,3,3,"leukocyte differentiation","hemopoiesis",TRUE,FALSE
"GO:0048545","GO:0048545",8,"GO:0050896",0.34,16,16,"response to steroid hormone","response to stimulus",TRUE,TRUE
"GO:0022414","GO:0022414",9,"GO:0007548",0.62,4,4,"reproductive process","sex differentiation",TRUE,TRUE
"GO:0043010","GO:0043010",5,"GO:0007399",0.456,41,41,"camera-type eye development","nervous system development",TRUE,FALSE
"GO:1901863","GO:1901863",7,"GO:0030097",0.183,1,1,"positive regulation of muscle tissue development","hemopoiesis",TRUE,FALSE
"GO:0032330","GO:0032330",7,"GO:0030097",0.276,12,12,"regulation of chondrocyte differentiation","hemopoiesis",TRUE,FALSE
"GO:0035108","GO:0035108",5,"GO:0007399",0.402,14,14,"limb morphogenesis","nervous system development",TRUE,FALSE
"GO:0035107","GO:0035107",5,"GO:0007399",0.498,0,0,"appendage morphogenesis","nervous system development",TRUE,FALSE
"GO:0051146","GO:0051146",3,"GO:0030154",0.64,14,14,"striated muscle cell differentiation","cell differentiation",TRUE,FALSE
"GO:0035196","GO:0035196",1,"GO:0006357",0.296,24,24,"miRNA processing","regulation of transcription by RNA polymerase II",TRUE,FALSE
"GO:0072073","GO:0072073",5,"GO:0007399",0.441,2,2,"kidney epithelium development","nervous system development",TRUE,TRUE
"GO:0045619","GO:0045619",7,"GO:0030097",0.411,3,3,"regulation of lymphocyte differentiation","hemopoiesis",TRUE,FALSE
"GO:0060840","GO:0060840",5,"GO:0007399",0.556,9,9,"artery development","nervous system development",TRUE,FALSE
"GO:0007154","GO:0007154",4,"GO:0006915",0.357,18,18,"cell communication","apoptotic process",TRUE,TRUE
"GO:0048641","GO:0048641",7,"GO:0030097",0.269,3,3,"regulation of skeletal muscle tissue development","hemopoiesis",TRUE,FALSE
"GO:0030325","GO:0030325",5,"GO:0007399",0.532,24,24,"adrenal gland development","nervous system development",TRUE,FALSE
"GO:0070918","GO:0070918",1,"GO:0006357",0.355,0,0,"small regulatory ncRNA processing","regulation of transcription by RNA polymerase II",TRUE,FALSE
"GO:0060135","GO:0060135",9,"GO:0007548",0.259,20,20,"maternal process involved in female pregnancy","sex differentiation",TRUE,FALSE
"GO:0046649","GO:0046649",4,"GO:0006915",0.207,1,1,"lymphocyte activation","apoptotic process",TRUE,FALSE
"GO:0048743","GO:0048743",7,"GO:0030097",0.137,10,10,"positive regulation of skeletal muscle fiber development","hemopoiesis",TRUE,FALSE
"GO:0048617","GO:0048617",5,"GO:0007399",0.415,9,9,"embryonic foregut morphogenesis","nervous system development",TRUE,FALSE
"GO:0042110","GO:0042110",4,"GO:0006915",0.173,56,56,"T cell activation","apoptotic process",TRUE,FALSE
"GO:0061005","GO:0061005",5,"GO:0007399",0.435,3,3,"cell differentiation involved in kidney development","nervous system development",TRUE,FALSE
"GO:0022008","GO:0022008",3,"GO:0030154",0.623,53,53,"neurogenesis","cell differentiation",TRUE,TRUE
"GO:0048754","GO:0048754",5,"GO:0007399",0.314,23,23,"branching morphogenesis of an epithelial tube","nervous system development",TRUE,TRUE
"GO:0048589","GO:0048589",3,"GO:0030154",0.342,23,23,"developmental growth","cell differentiation",TRUE,FALSE
"GO:0043500","GO:0043500",10,"GO:0014737",0.465,0,0,"muscle adaptation","positive regulation of muscle atrophy",TRUE,FALSE
"GO:0003279","GO:0003279",5,"GO:0007399",0.546,9,9,"cardiac septum development","nervous system development",TRUE,FALSE
"GO:0040007","GO:0040007",3,"GO:0030154",0.221,0,0,"growth","cell differentiation",TRUE,FALSE
"GO:0003211","GO:0003211",5,"GO:0007399",0.354,5,5,"cardiac ventricle formation","nervous system development",TRUE,FALSE
"GO:0007440","GO:0007440",5,"GO:0007399",0.475,1,1,"foregut morphogenesis","nervous system development",TRUE,FALSE
"GO:0042472","GO:0042472",5,"GO:0007399",0.362,56,56,"inner ear morphogenesis","nervous system development",TRUE,FALSE
"GO:0035282","GO:0035282",5,"GO:0007399",0.454,1,1,"segmentation","nervous system development",TRUE,FALSE
"GO:0051149","GO:0051149",3,"GO:0030154",0.411,15,15,"positive regulation of muscle cell differentiation","cell differentiation",TRUE,FALSE
"GO:0061036","GO:0061036",7,"GO:0030097",0.325,17,17,"positive regulation of cartilage development","hemopoiesis",TRUE,FALSE
"GO:0048609","GO:0048609",9,"GO:0007548",0.395,4,4,"multicellular organismal reproductive process","sex differentiation",TRUE,FALSE
"GO:0045321","GO:0045321",4,"GO:0006915",0.254,5,5,"leukocyte activation","apoptotic process",TRUE,FALSE
"GO:0030155","GO:0030155",2,"GO:0007165",0.468,59,59,"regulation of cell adhesion","signal transduction",TRUE,FALSE
"GO:0048340","GO:0048340",5,"GO:0007399",0.348,2,2,"paraxial mesoderm morphogenesis","nervous system development",TRUE,FALSE
"GO:0001708","GO:0001708",3,"GO:0030154",0.765,33,33,"cell fate specification","cell differentiation",TRUE,TRUE
"GO:0048762","GO:0048762",5,"GO:0007399",0.451,8,8,"mesenchymal cell differentiation","nervous system development",TRUE,TRUE
"GO:1902105","GO:1902105",7,"GO:0030097",0.522,0,0,"regulation of leukocyte differentiation","hemopoiesis",TRUE,FALSE
"GO:0010941","GO:0010941",4,"GO:0006915",0.381,6,6,"regulation of cell death","apoptotic process",TRUE,TRUE
"GO:0060411","GO:0060411",5,"GO:0007399",0.408,13,13,"cardiac septum morphogenesis","nervous system development",TRUE,FALSE
"GO:0003208","GO:0003208",5,"GO:0007399",0.393,9,9,"cardiac ventricle morphogenesis","nervous system development",TRUE,FALSE
"GO:0042593","GO:0042593",6,"GO:0042593",1,112,112,"glucose homeostasis","glucose homeostasis",TRUE,TRUE
"GO:0033500","GO:0033500",6,"GO:0042593",0.833,2,2,"carbohydrate homeostasis","glucose homeostasis",TRUE,TRUE
"GO:0030099","GO:0030099",7,"GO:0030097",0.761,23,23,"myeloid cell differentiation","hemopoiesis",TRUE,FALSE
"GO:0007183","GO:0007183",2,"GO:0007165",0.608,7,7,"SMAD protein complex assembly","signal transduction",TRUE,FALSE
"GO:0072105","GO:0072105",10,"GO:0014737",0.123,2,2,"ureteric peristalsis","positive regulation of muscle atrophy",TRUE,FALSE
"GO:0007521","GO:0007521",3,"GO:0030154",0.547,2,2,"muscle cell fate determination","cell differentiation",TRUE,FALSE
"GO:0014849","GO:0014849",10,"GO:0014737",0.143,0,0,"ureter smooth muscle contraction","positive regulation of muscle atrophy",TRUE,FALSE
"GO:0014737","GO:0014737",10,"GO:0014737",1,2,2,"positive regulation of muscle atrophy","positive regulation of muscle atrophy",TRUE,FALSE
"GO:1990785","GO:1990785",8,"GO:0050896",0.51,2,2,"response to water-immersion restraint stress","response to stimulus",TRUE,TRUE
"GO:0048699","GO:0048699",3,"GO:0030154",0.586,9,9,"generation of neurons","cell differentiation",FALSE,TRUE
"GO:0007548","GO:0007548",9,"GO:0007548",1,21,21,"sex differentiation","sex differentiation",FALSE,TRUE
"GO:0001656","GO:0001656",5,"GO:0007399",0.505,29,29,"metanephros development","nervous system development",FALSE,TRUE
"GO:0007165","GO:0007165",2,"GO:0007165",1,1181,1181,"signal transduction","signal transduction",FALSE,TRUE
"GO:0061138","GO:0061138",5,"GO:0007399",0.314,4,4,"morphogenesis of a branching epithelium","nervous system development",FALSE,TRUE
"GO:0030182","GO:0030182",3,"GO:0030154",0.614,183,183,"neuron differentiation","cell differentiation",FALSE,TRUE
"GO:0007166","GO:0007166",2,"GO:0007165",0.915,303,303,"cell surface receptor signaling pathway","signal transduction",FALSE,TRUE
"GO:0048608","GO:0048608",5,"GO:0007399",0.552,4,4,"reproductive structure development","nervous system development",FALSE,TRUE
"GO:0061458","GO:0061458",5,"GO:0007399",0.723,5,5,"reproductive system development","nervous system development",FALSE,TRUE
"GO:0023052","GO:0023052",4,"GO:0006915",0.21,7,7,"signaling","apoptotic process",FALSE,TRUE
"GO:0009755","GO:0009755",8,"GO:0050896",0.226,48,48,"hormone-mediated signaling pathway","response to stimulus",FALSE,TRUE
"GO:0045664","GO:0045664",3,"GO:0030154",0.464,29,29,"regulation of neuron differentiation","cell differentiation",FALSE,TRUE
"GO:0034097","GO:0034097",8,"GO:0050896",0.51,46,46,"response to cytokine","response to stimulus",FALSE,TRUE
"GO:0071345","GO:0071345",8,"GO:0050896",0.329,33,33,"cellular response to cytokine stimulus","response to stimulus",FALSE,TRUE
"GO:0045665","GO:0045665",3,"GO:0030154",0.387,62,62,"negative regulation of neuron differentiation","cell differentiation",FALSE,TRUE
"GO:0003151","GO:0003151",5,"GO:0007399",0.468,48,48,"outflow tract morphogenesis","nervous system development",FALSE,TRUE
"GO:0001945","GO:0001945",5,"GO:0007399",0.62,8,8,"lymph vessel development","nervous system development",FALSE,TRUE
"GO:0051241","GO:0051241",2,"GO:0007165",0.246,0,0,"negative regulation of multicellular organismal process","signal transduction",FALSE,TRUE
"GO:0021781","GO:0021781",3,"GO:0030154",0.555,3,3,"glial cell fate commitment","cell differentiation",FALSE,TRUE
"GO:0014033","GO:0014033",5,"GO:0007399",0.401,11,11,"neural crest cell differentiation","nervous system development",FALSE,TRUE
"GO:0001823","GO:0001823",5,"GO:0007399",0.505,11,11,"mesonephros development","nervous system development",FALSE,TRUE
"GO:0048663","GO:0048663",3,"GO:0030154",0.555,19,19,"neuron fate commitment","cell differentiation",FALSE,TRUE
"GO:0007519","GO:0007519",5,"GO:0007399",0.403,53,53,"skeletal muscle tissue development","nervous system development",FALSE,TRUE
"GO:0016055","GO:0016055",2,"GO:0007165",0.721,160,160,"Wnt signaling pathway","signal transduction",FALSE,TRUE
"GO:0198738","GO:0198738",4,"GO:0006915",0.207,2,2,"cell-cell signaling by wnt","apoptotic process",FALSE,TRUE
"GO:0072189","GO:0072189",5,"GO:0007399",0.521,6,6,"ureter development","nervous system development",FALSE,TRUE
"GO:0072009","GO:0072009",5,"GO:0007399",0.427,0,0,"nephron epithelium development","nervous system development",FALSE,TRUE
"GO:0008406","GO:0008406",5,"GO:0007399",0.448,12,12,"gonad development","nervous system development",FALSE,TRUE
"GO:0060070","GO:0060070",2,"GO:0007165",0.704,155,155,"canonical Wnt signaling pathway","signal transduction",FALSE,TRUE
"GO:1905114","GO:1905114",2,"GO:0007165",0.803,3,3,"cell surface receptor signaling pathway involved in cell-cell signaling","signal transduction",FALSE,TRUE
"GO:0045137","GO:0045137",5,"GO:0007399",0.473,1,1,"development of primary sexual characteristics","nervous system development",FALSE,TRUE
"GO:0048866","GO:0048866",3,"GO:0030154",0.586,4,4,"stem cell fate specification","cell differentiation",FALSE,TRUE
"GO:0060538","GO:0060538",5,"GO:0007399",0.528,6,6,"skeletal muscle organ development","nervous system development",FALSE,TRUE
"GO:0022612","GO:0022612",5,"GO:0007399",0.494,7,7,"gland morphogenesis","nervous system development",FALSE,TRUE
"GO:0014032","GO:0014032",5,"GO:0007399",0.337,20,20,"neural crest cell development","nervous system development",FALSE,TRUE
"GO:0031018","GO:0031018",5,"GO:0007399",0.573,17,17,"endocrine pancreas development","nervous system development",FALSE,TRUE
"GO:0048864","GO:0048864",3,"GO:0030154",0.63,7,7,"stem cell development","cell differentiation",FALSE,TRUE
"GO:0048583","GO:0048583",2,"GO:0007165",0.433,1,1,"regulation of response to stimulus","signal transduction",FALSE,TRUE
"GO:2000738","GO:2000738",3,"GO:0030154",0.443,13,13,"positive regulation of stem cell differentiation","cell differentiation",FALSE,TRUE
"GO:0002634","GO:0002634",7,"GO:0030097",0.169,5,5,"regulation of germinal center formation","hemopoiesis",FALSE,TRUE
"GO:0060740","GO:0060740",5,"GO:0007399",0.308,8,8,"prostate gland epithelium morphogenesis","nervous system development",FALSE,TRUE
"GO:0001657","GO:0001657",5,"GO:0007399",0.426,35,35,"ureteric bud development","nervous system development",FALSE,TRUE
"GO:0060349","GO:0060349",5,"GO:0007399",0.435,30,30,"bone morphogenesis","nervous system development",FALSE,TRUE
"GO:0072163","GO:0072163",5,"GO:0007399",0.393,1,1,"mesonephric epithelium development","nervous system development",FALSE,TRUE
"GO:0072164","GO:0072164",5,"GO:0007399",0.44,2,2,"mesonephric tubule development","nervous system development",FALSE,TRUE
"GO:0072006","GO:0072006",5,"GO:0007399",0.549,9,9,"nephron development","nervous system development",FALSE,TRUE
"GO:0042592","GO:0042592",6,"GO:0042593",0.608,11,11,"homeostatic process","glucose homeostasis",FALSE,TRUE
"GO:0001678","GO:0001678",6,"GO:0042593",0.693,26,26,"cellular glucose homeostasis","glucose homeostasis",FALSE,TRUE
"GO:0060512","GO:0060512",5,"GO:0007399",0.364,2,2,"prostate gland morphogenesis","nervous system development",FALSE,TRUE
"GO:0008585","GO:0008585",5,"GO:0007399",0.387,21,21,"female gonad development","nervous system development",FALSE,TRUE
"GO:0048865","GO:0048865",3,"GO:0030154",0.673,0,0,"stem cell fate commitment","cell differentiation",FALSE,TRUE
"GO:0046545","GO:0046545",5,"GO:0007399",0.393,4,4,"development of primary female sexual characteristics","nervous system development",FALSE,TRUE
"GO:0048585","GO:0048585",2,"GO:0007165",0.357,0,0,"negative regulation of response to stimulus","signal transduction",FALSE,TRUE
"GO:0048665","GO:0048665",3,"GO:0030154",0.517,20,20,"neuron fate specification","cell differentiation",FALSE,TRUE
"GO:0048384","GO:0048384",2,"GO:0007165",0.847,21,21,"retinoic acid receptor signaling pathway","signal transduction",FALSE,TRUE
"GO:0030178","GO:0030178",2,"GO:0007165",0.53,60,60,"negative regulation of Wnt signaling pathway","signal transduction",FALSE,TRUE
"GO:0090184","GO:0090184",5,"GO:0007399",0.373,4,4,"positive regulation of kidney development","nervous system development",FALSE,TRUE
"GO:0060548","GO:0060548",4,"GO:0006915",0.315,76,76,"negative regulation of cell death","apoptotic process",FALSE,TRUE
"GO:0030900","GO:0030900",5,"GO:0007399",0.663,47,47,"forebrain development","nervous system development",FALSE,TRUE
"GO:0043069","GO:0043069",4,"GO:0006915",0.393,16,16,"negative regulation of programmed cell death","apoptotic process",FALSE,TRUE
"GO:0001701","GO:0001701",5,"GO:0007399",0.391,203,203,"in utero embryonic development","nervous system development",FALSE,TRUE
"GO:0001659","GO:0001659",6,"GO:0042593",0.343,20,20,"temperature homeostasis","glucose homeostasis",FALSE,TRUE
"GO:1902257","GO:1902257",7,"GO:0030097",0.191,2,2,"negative regulation of apoptotic process involved in outflow tract morphogenesis","hemopoiesis",FALSE,TRUE
