"","go","cluster","parent","parentSimScore","score","size","term","parentTerm","female_drugs","male_drugs"
"GO:0009966","GO:0009966",2,"GO:0007165",0.782,45,45,"regulation of signal transduction","signal transduction",TRUE,FALSE
"GO:0060043","GO:0060043",4,"GO:0007399",0.239,5,5,"regulation of cardiac muscle cell proliferation","nervous system development",TRUE,FALSE
"GO:0071376","GO:0071376",3,"GO:0006954",0.079,8,8,"cellular response to corticotropin-releasing hormone stimulus","inflammatory response",TRUE,FALSE
"GO:0043435","GO:0043435",3,"GO:0006954",0.129,0,0,"response to corticotropin-releasing hormone","inflammatory response",TRUE,FALSE
"GO:0048514","GO:0048514",4,"GO:0007399",0.469,19,19,"blood vessel morphogenesis","nervous system development",TRUE,FALSE
"GO:0048738","GO:0048738",4,"GO:0007399",0.441,18,18,"cardiac muscle tissue development","nervous system development",TRUE,FALSE
"GO:0002682","GO:0002682",5,"GO:0048511",0.234,21,21,"regulation of immune system process","rhythmic process",TRUE,FALSE
"GO:0007166","GO:0007166",2,"GO:0007165",0.915,303,303,"cell surface receptor signaling pathway","signal transduction",TRUE,FALSE
"GO:0061035","GO:0061035",4,"GO:0007399",0.41,3,3,"regulation of cartilage development","nervous system development",TRUE,FALSE
"GO:0046631","GO:0046631",2,"GO:0007165",0.158,8,8,"alpha-beta T cell activation","signal transduction",TRUE,FALSE
"GO:0002062","GO:0002062",4,"GO:0007399",0.415,50,50,"chondrocyte differentiation","nervous system development",TRUE,FALSE
"GO:0055017","GO:0055017",4,"GO:0007399",0.377,1,1,"cardiac muscle tissue growth","nervous system development",TRUE,FALSE
"GO:0048562","GO:0048562",4,"GO:0007399",0.445,4,4,"embryonic organ morphogenesis","nervous system development",TRUE,FALSE
"GO:0048646","GO:0048646",4,"GO:0007399",0.394,7,7,"anatomical structure formation involved in morphogenesis","nervous system development",TRUE,TRUE
"GO:0023051","GO:0023051",5,"GO:0048511",0.234,2,2,"regulation of signaling","rhythmic process",TRUE,FALSE
"GO:0071417","GO:0071417",3,"GO:0006954",0.116,5,5,"cellular response to organonitrogen compound","inflammatory response",TRUE,FALSE
"GO:0006952","GO:0006952",3,"GO:0006954",0.812,72,72,"defense response","inflammatory response",TRUE,FALSE
"GO:0010646","GO:0010646",2,"GO:0007165",0.625,0,0,"regulation of cell communication","signal transduction",TRUE,FALSE
"GO:0042693","GO:0042693",2,"GO:0007165",0.155,6,6,"muscle cell fate commitment","signal transduction",TRUE,FALSE
"GO:1902894","GO:1902894",1,"GO:0006357",0.761,19,19,"negative regulation of miRNA transcription","regulation of transcription by RNA polymerase II",TRUE,FALSE
"GO:2000629","GO:2000629",1,"GO:0006357",0.415,0,0,"negative regulation of miRNA metabolic process","regulation of transcription by RNA polymerase II",TRUE,FALSE
"GO:0032332","GO:0032332",4,"GO:0007399",0.257,23,23,"positive regulation of chondrocyte differentiation","nervous system development",TRUE,FALSE
"GO:0038061","GO:0038061",2,"GO:0007165",0.847,24,24,"NIK/NF-kappaB signaling","signal transduction",TRUE,FALSE
"GO:0098727","GO:0098727",4,"GO:0007399",0.306,1,1,"maintenance of cell number","nervous system development",TRUE,FALSE
"GO:0097028","GO:0097028",4,"GO:0007399",0.396,16,16,"dendritic cell differentiation","nervous system development",TRUE,FALSE
"GO:0048863","GO:0048863",2,"GO:0007165",0.188,44,44,"stem cell differentiation","signal transduction",TRUE,FALSE
"GO:0043011","GO:0043011",4,"GO:0007399",0.279,19,19,"myeloid dendritic cell differentiation","nervous system development",TRUE,FALSE
"GO:0060419","GO:0060419",4,"GO:0007399",0.475,0,0,"heart growth","nervous system development",TRUE,FALSE
"GO:0051241","GO:0051241",5,"GO:0048511",0.194,0,0,"negative regulation of multicellular organismal process","rhythmic process",TRUE,FALSE
"GO:0044419","GO:0044419",5,"GO:0048511",0.412,16,16,"biological process involved in interspecies interaction between organisms","rhythmic process",TRUE,FALSE
"GO:1903243","GO:1903243",6,"GO:0060135",0.057,9,9,"negative regulation of cardiac muscle hypertrophy in response to stress","maternal process involved in female pregnancy",TRUE,FALSE
"GO:0010616","GO:0010616",6,"GO:0060135",0.086,0,0,"negative regulation of cardiac muscle adaptation","maternal process involved in female pregnancy",TRUE,FALSE
"GO:0060592","GO:0060592",4,"GO:0007399",0.417,1,1,"mammary gland formation","nervous system development",TRUE,FALSE
"GO:0060045","GO:0060045",4,"GO:0007399",0.194,30,30,"positive regulation of cardiac muscle cell proliferation","nervous system development",TRUE,FALSE
"GO:0007423","GO:0007423",4,"GO:0007399",0.638,6,6,"sensory organ development","nervous system development",TRUE,FALSE
"GO:0043401","GO:0043401",3,"GO:0006954",0.083,22,22,"steroid hormone mediated signaling pathway","inflammatory response",TRUE,FALSE
"GO:0071559","GO:0071559",3,"GO:0006954",0.207,10,10,"response to transforming growth factor beta","inflammatory response",TRUE,FALSE
"GO:0007420","GO:0007420",4,"GO:0007399",0.668,264,264,"brain development","nervous system development",TRUE,FALSE
"GO:0050680","GO:0050680",2,"GO:0007165",0.323,61,61,"negative regulation of epithelial cell proliferation","signal transduction",TRUE,FALSE
"GO:0001892","GO:0001892",4,"GO:0007399",0.363,20,20,"embryonic placenta development","nervous system development",TRUE,FALSE
"GO:0009628","GO:0009628",3,"GO:0006954",0.357,0,0,"response to abiotic stimulus","inflammatory response",TRUE,FALSE
"GO:0048839","GO:0048839",4,"GO:0007399",0.569,44,44,"inner ear development","nervous system development",TRUE,FALSE
"GO:0032330","GO:0032330",4,"GO:0007399",0.311,12,12,"regulation of chondrocyte differentiation","nervous system development",TRUE,FALSE
"GO:0055021","GO:0055021",4,"GO:0007399",0.299,0,0,"regulation of cardiac muscle tissue growth","nervous system development",TRUE,FALSE
"GO:0007517","GO:0007517",4,"GO:0007399",0.583,98,98,"muscle organ development","nervous system development",TRUE,FALSE
"GO:0060872","GO:0060872",4,"GO:0007399",0.511,1,1,"semicircular canal development","nervous system development",TRUE,FALSE
"GO:0051090","GO:0051090",1,"GO:0006357",0.866,24,24,"regulation of DNA-binding transcription factor activity","regulation of transcription by RNA polymerase II",TRUE,TRUE
"GO:0071345","GO:0071345",3,"GO:0006954",0.132,33,33,"cellular response to cytokine stimulus","inflammatory response",TRUE,FALSE
"GO:0040007","GO:0040007",5,"GO:0048511",0.412,0,0,"growth","rhythmic process",TRUE,FALSE
"GO:0007267","GO:0007267",2,"GO:0007165",0.513,229,229,"cell-cell signaling","signal transduction",TRUE,FALSE
"GO:0072132","GO:0072132",4,"GO:0007399",0.435,0,0,"mesenchyme morphogenesis","nervous system development",TRUE,FALSE
"GO:0050679","GO:0050679",2,"GO:0007165",0.323,73,73,"positive regulation of epithelial cell proliferation","signal transduction",TRUE,FALSE
"GO:0040008","GO:0040008",5,"GO:0048511",0.234,14,14,"regulation of growth","rhythmic process",TRUE,FALSE
"GO:0032608","GO:0032608",1,"GO:0006357",0.134,0,0,"interferon-beta production","regulation of transcription by RNA polymerase II",TRUE,FALSE
"GO:0032648","GO:0032648",1,"GO:0006357",0.234,4,4,"regulation of interferon-beta production","regulation of transcription by RNA polymerase II",TRUE,FALSE
"GO:2000737","GO:2000737",2,"GO:0007165",0.288,19,19,"negative regulation of stem cell differentiation","signal transduction",TRUE,FALSE
"GO:0051707","GO:0051707",3,"GO:0006954",0.203,3,3,"response to other organism","inflammatory response",TRUE,FALSE
"GO:0022008","GO:0022008",4,"GO:0007399",0.713,53,53,"neurogenesis","nervous system development",TRUE,FALSE
"GO:0043207","GO:0043207",3,"GO:0006954",0.236,2,2,"response to external biotic stimulus","inflammatory response",TRUE,FALSE
"GO:0060322","GO:0060322",4,"GO:0007399",0.425,13,13,"head development","nervous system development",TRUE,FALSE
"GO:0032479","GO:0032479",1,"GO:0006357",0.275,9,9,"regulation of type I interferon production","regulation of transcription by RNA polymerase II",TRUE,FALSE
"GO:0032606","GO:0032606",1,"GO:0006357",0.162,0,0,"type I interferon production","regulation of transcription by RNA polymerase II",TRUE,FALSE
"GO:0003272","GO:0003272",4,"GO:0007399",0.358,10,10,"endocardial cushion formation","nervous system development",TRUE,FALSE
"GO:0055023","GO:0055023",4,"GO:0007399",0.249,0,0,"positive regulation of cardiac muscle tissue growth","nervous system development",TRUE,FALSE
"GO:0001501","GO:0001501",4,"GO:0007399",0.723,132,132,"skeletal system development","nervous system development",TRUE,FALSE
"GO:0060135","GO:0060135",6,"GO:0060135",1,20,20,"maternal process involved in female pregnancy","maternal process involved in female pregnancy",TRUE,FALSE
"GO:0060420","GO:0060420",4,"GO:0007399",0.345,3,3,"regulation of heart growth","nervous system development",TRUE,FALSE
"GO:0007178","GO:0007178",2,"GO:0007165",0.795,9,9,"transmembrane receptor protein serine/threonine kinase signaling pathway","signal transduction",TRUE,FALSE
"GO:0032615","GO:0032615",1,"GO:0006357",0.162,0,0,"interleukin-12 production","regulation of transcription by RNA polymerase II",TRUE,FALSE
"GO:0032655","GO:0032655",1,"GO:0006357",0.275,4,4,"regulation of interleukin-12 production","regulation of transcription by RNA polymerase II",TRUE,FALSE
"GO:0035265","GO:0035265",4,"GO:0007399",0.349,20,20,"organ growth","nervous system development",TRUE,TRUE
"GO:0001773","GO:0001773",2,"GO:0007165",0.173,2,2,"myeloid dendritic cell activation","signal transduction",TRUE,FALSE
"GO:0002694","GO:0002694",2,"GO:0007165",0.382,0,0,"regulation of leukocyte activation","signal transduction",TRUE,FALSE
"GO:0009607","GO:0009607",3,"GO:0006954",0.357,0,0,"response to biotic stimulus","inflammatory response",TRUE,FALSE
"GO:0010631","GO:0010631",6,"GO:0060135",0.114,12,12,"epithelial cell migration","maternal process involved in female pregnancy",TRUE,FALSE
"GO:1903242","GO:1903242",6,"GO:0060135",0.062,1,1,"regulation of cardiac muscle hypertrophy in response to stress","maternal process involved in female pregnancy",TRUE,FALSE
"GO:0014745","GO:0014745",6,"GO:0060135",0.104,0,0,"negative regulation of muscle adaptation","maternal process involved in female pregnancy",TRUE,FALSE
"GO:0010612","GO:0010612",6,"GO:0060135",0.087,0,0,"regulation of cardiac muscle adaptation","maternal process involved in female pregnancy",TRUE,FALSE
"GO:0090132","GO:0090132",6,"GO:0060135",0.184,1,1,"epithelium migration","maternal process involved in female pregnancy",TRUE,FALSE
"GO:0051249","GO:0051249",2,"GO:0007165",0.336,1,1,"regulation of lymphocyte activation","signal transduction",TRUE,FALSE
"GO:0043583","GO:0043583",4,"GO:0007399",0.563,10,10,"ear development","nervous system development",TRUE,FALSE
"GO:0003170","GO:0003170",4,"GO:0007399",0.571,7,7,"heart valve development","nervous system development",TRUE,FALSE
"GO:0048511","GO:0048511",5,"GO:0048511",1,67,67,"rhythmic process","rhythmic process",TRUE,FALSE
"GO:0048771","GO:0048771",4,"GO:0007399",0.306,9,9,"tissue remodeling","nervous system development",TRUE,FALSE
"GO:0090130","GO:0090130",6,"GO:0060135",0.237,0,0,"tissue migration","maternal process involved in female pregnancy",TRUE,FALSE
"GO:0060421","GO:0060421",4,"GO:0007399",0.279,4,4,"positive regulation of heart growth","nervous system development",TRUE,FALSE
"GO:0046634","GO:0046634",2,"GO:0007165",0.281,0,0,"regulation of alpha-beta T cell activation","signal transduction",TRUE,FALSE
"GO:0035019","GO:0035019",4,"GO:0007399",0.302,56,56,"somatic stem cell population maintenance","nervous system development",TRUE,FALSE
"GO:0071354","GO:0071354",3,"GO:0006954",0.112,18,18,"cellular response to interleukin-6","inflammatory response",TRUE,FALSE
"GO:0006954","GO:0006954",3,"GO:0006954",1,423,423,"inflammatory response","inflammatory response",TRUE,FALSE
"GO:0045879","GO:0045879",2,"GO:0007165",0.567,29,29,"negative regulation of smoothened signaling pathway","signal transduction",TRUE,FALSE
"GO:0019827","GO:0019827",4,"GO:0007399",0.373,38,38,"stem cell population maintenance","nervous system development",TRUE,FALSE
"GO:0009967","GO:0009967",2,"GO:0007165",0.635,10,10,"positive regulation of signal transduction","signal transduction",TRUE,FALSE
"GO:0060379","GO:0060379",4,"GO:0007399",0.355,11,11,"cardiac muscle cell myoblast differentiation","nervous system development",TRUE,FALSE
"GO:0046637","GO:0046637",4,"GO:0007399",0.218,0,0,"regulation of alpha-beta T cell differentiation","nervous system development",TRUE,FALSE
"GO:0014849","GO:0014849",6,"GO:0060135",0.093,0,0,"ureter smooth muscle contraction","maternal process involved in female pregnancy",TRUE,FALSE
"GO:0072105","GO:0072105",6,"GO:0060135",0.082,2,2,"ureteric peristalsis","maternal process involved in female pregnancy",TRUE,FALSE
"GO:0007521","GO:0007521",2,"GO:0007165",0.147,2,2,"muscle cell fate determination","signal transduction",TRUE,FALSE
"GO:0062012","GO:0062012",5,"GO:0048511",0.181,0,0,"regulation of small molecule metabolic process","rhythmic process",TRUE,FALSE
"GO:0010629","GO:0010629",1,"GO:0006357",0.34,316,316,"negative regulation of gene expression","regulation of transcription by RNA polymerase II",FALSE,TRUE
"GO:0051148","GO:0051148",2,"GO:0007165",0.272,8,8,"negative regulation of muscle cell differentiation","signal transduction",FALSE,TRUE
"GO:0043433","GO:0043433",1,"GO:0006357",0.802,98,98,"negative regulation of DNA-binding transcription factor activity","regulation of transcription by RNA polymerase II",FALSE,TRUE
"GO:0070345","GO:0070345",2,"GO:0007165",0.323,6,6,"negative regulation of fat cell proliferation","signal transduction",FALSE,TRUE
"GO:0030218","GO:0030218",4,"GO:0007399",0.326,59,59,"erythrocyte differentiation","nervous system development",FALSE,TRUE
"GO:0000083","GO:0000083",1,"GO:0006357",0.763,17,17,"regulation of transcription involved in G1/S transition of mitotic cell cycle","regulation of transcription by RNA polymerase II",FALSE,TRUE
"GO:0034101","GO:0034101",5,"GO:0048511",0.191,10,10,"erythrocyte homeostasis","rhythmic process",FALSE,TRUE
"GO:0030902","GO:0030902",4,"GO:0007399",0.663,16,16,"hindbrain development","nervous system development",FALSE,TRUE
"GO:0048871","GO:0048871",5,"GO:0048511",0.219,3,3,"multicellular organismal homeostasis","rhythmic process",FALSE,TRUE
"GO:0014015","GO:0014015",4,"GO:0007399",0.342,3,3,"positive regulation of gliogenesis","nervous system development",FALSE,TRUE
"GO:0002262","GO:0002262",5,"GO:0048511",0.21,10,10,"myeloid cell homeostasis","rhythmic process",FALSE,TRUE
"GO:0070344","GO:0070344",2,"GO:0007165",0.403,0,0,"regulation of fat cell proliferation","signal transduction",FALSE,TRUE
"GO:1905114","GO:1905114",2,"GO:0007165",0.803,3,3,"cell surface receptor signaling pathway involved in cell-cell signaling","signal transduction",FALSE,TRUE
"GO:0060251","GO:0060251",4,"GO:0007399",0.458,2,2,"regulation of glial cell proliferation","nervous system development",FALSE,TRUE
"GO:0002357","GO:0002357",3,"GO:0006954",0.526,13,13,"defense response to tumor cell","inflammatory response",FALSE,TRUE
